EXPNUM,MU,PSP,INV,USFSspID,Month,Year,EXPF,TREENUM,DCLASS,DBH,KCODE
1,90,12,20,15,6,2000,50,30800,1,0.7,100
1,90,12,20,6,6,2000,50,30900,1,0.6,100
1,90,12,20,1,6,2000,50,31000,1,0.7,100
1,90,12,20,1,6,2000,50,31100,1,0.8,100
1,90,12,20,4,6,2000,50,31200,2,1.6,100
1,90,12,20,4,6,2000,50,31300,1,0.9,100
1,90,12,20,1,6,2000,50,31401,1,0.6,100
1,90,12,20,6,6,2000,5,34700,15,14.5,200
1,90,12,20,6,6,2000,5,34800,13,13.1,200
1,90,12,20,10,6,2000,50,40100,1,0.5,100
1,90,12,20,10,6,2000,50,40400,1,1.1,100
1,90,12,20,4,6,2000,50,40800,1,0.6,100
1,90,12,20,1,6,2000,50,41400,1,0.7,100
1,90,12,20,6,6,2000,50,41500,1,1.2,100
1,90,12,20,6,6,2000,5,41600,6,6.4,200
1,90,12,20,4,6,2000,5,43500,9,8.5,200
1,90,12,20,6,6,2000,5,50500,13,12.7,200
1,90,12,20,6,6,2000,5,50600,9,8.7,200
1,90,12,20,10,6,2000,50,50800,1,0.8,100
1,90,12,20,10,6,2000,50,50900,1,0.9,100
1,90,12,20,10,6,2000,50,51000,1,0.8,100
1,90,12,20,10,6,2000,50,51100,1,0.7,100
1,90,12,20,4,6,2000,50,51500,1,0.7,100
1,90,12,20,6,6,2000,5,52800,12,11.5,200
1,90,12,20,6,6,2000,5,53100,7,6.8,200
1,90,12,20,6,6,2000,5,53800,10,10.4,200
1,90,12,20,6,6,2000,5,54200,7,6.6,200
1,90,12,20,6,6,2000,5,54600,15,15.4,200
1,90,12,20,1,6,2000,50,60500,1,0.6,100
1,90,12,20,4,6,2000,50,60600,1,0.6,100
1,90,12,20,10,6,2000,50,60900,1,0.9,100
1,90,12,20,4,6,2000,50,61300,1,0.8,100
1,90,12,20,4,6,2000,50,61400,1,0.8,100
1,90,12,20,4,6,2000,50,61600,1,0.9,100
1,90,12,20,1,6,2000,50,71600,1,1,100
1,90,12,20,6,6,2000,5,73500,11,11.4,200
1,90,12,20,6,6,2000,5,74900,10,9.8,200
1,90,12,20,6,6,2000,50,80400,1,0.6,100
1,90,12,20,6,6,2000,5,80800,9,9.2,200
1,90,12,20,4,6,2000,50,81000,1,1.2,100
1,90,12,20,1,6,2000,50,81200,1,0.6,100
1,90,12,20,6,6,2000,5,82500,13,13,200
1,90,12,20,6,6,2000,5,82900,6,6,200
1,90,12,20,4,6,2000,5,85200,16,16,200
1,90,12,20,4,6,2000,50,90700,1,0.7,100
1,90,12,20,6,6,2000,50,90800,1,0.6,100
1,90,12,20,4,6,2000,50,90900,1,1.1,100
1,90,12,20,1,6,2000,50,91000,1,1.3,100
1,90,12,20,6,6,2000,5,94000,8,7.6,200
1,90,12,20,6,6,2000,5,94700,9,9.4,200
1,90,12,20,6,6,2000,5,95200,11,10.9,200
1,90,21,20,1,6,2000,50,800,1,1,100
1,90,21,20,6,6,2000,50,1000,1,1,100
1,90,21,20,1,6,2000,50,1100,1,0.8,100
1,90,21,20,15,6,2000,5,3500,9,9,200
1,90,21,20,6,6,2000,5,3700,8,7.7,200
1,90,21,20,4,6,2000,5,4000,7,6.5,200
1,90,21,20,4,6,2000,50,10200,1,0.7,100
1,90,21,20,1,6,2000,50,10700,2,1.5,100
1,90,21,20,1,6,2000,50,11100,1,0.8,100
1,90,21,20,6,6,2000,50,11300,1,0.7,100
1,90,21,20,1,6,2000,20,11800,3,3.3,100
1,90,21,20,15,6,2000,5,12900,8,7.7,200
1,90,21,20,6,6,2000,5,13900,10,9.5,200
1,90,21,20,4,6,2000,5,14700,15,15.1,200
1,90,21,20,1,6,2000,50,20200,1,0.6,100
1,90,21,20,1,6,2000,50,21000,1,1,100
1,90,21,20,1,6,2000,50,21100,1,0.7,100
1,90,21,20,1,6,2000,50,21200,1,0.6,100
1,90,21,20,1,6,2000,50,21300,1,1.3,100
1,90,21,20,6,6,2000,5,22100,5,4.9,200
1,90,21,20,6,6,2000,5,24200,12,11.7,200
1,90,21,20,4,6,2000,50,30200,1,1.1,100
1,90,21,20,1,6,2000,50,30300,1,0.9,100
1,90,21,20,1,6,2000,50,31000,2,1.8,100
1,90,21,20,1,6,2000,50,31200,1,0.9,100
1,90,21,20,6,6,2000,50,31300,1,1.3,100
1,90,21,20,1,6,2000,50,31400,1,0.8,100
1,90,21,20,1,6,2000,50,31500,1,0.7,100
1,90,21,20,1,6,2000,50,31600,1,1,100
1,90,21,20,1,6,2000,50,31700,1,1,100
1,90,21,20,6,6,2000,5,33200,9,8.8,200
1,90,21,20,4,6,2000,5,33500,19,19,200
1,90,21,20,1,6,2000,5,34400,5,4.6,200
1,90,21,20,6,6,2000,5,35000,13,12.9,200
1,90,21,20,6,6,2000,50,40300,1,0.9,100
1,90,21,20,4,6,2000,50,40700,1,1.4,100
1,90,21,20,4,6,2000,50,40900,1,0.9,100
1,90,21,20,1,6,2000,50,41000,1,1,100
1,90,21,20,6,6,2000,5,44200,7,6.9,200
1,90,21,20,1,6,2000,50,50900,1,0.9,100
1,90,21,20,1,6,2000,50,51000,2,2,100
1,90,21,20,1,6,2000,50,51100,1,0.9,100
1,90,21,20,1,6,2000,50,51300,2,2.1,100
1,90,21,20,1,6,2000,20,52300,3,2.9,100
1,90,21,20,6,6,2000,5,53600,15,14.9,200
1,90,21,20,4,6,2000,5,54900,12,12.1,200
1,90,21,20,4,6,2000,5,63700,9,9.2,200
1,90,21,20,1,6,2000,5,63800,7,7.2,200
1,90,21,20,6,6,2000,20,71400,4,4.4,100
1,90,21,20,32,6,2000,50,71600,2,1.9,100
1,90,21,20,1,6,2000,5,74000,6,5.6,200
1,90,21,20,7,6,2000,5,74400,5,5,300
1,90,21,20,6,6,2000,5,81300,10,9.5,200
1,90,21,20,6,6,2000,50,81400,1,1.1,100
1,90,21,20,6,6,2000,50,81500,1,0.7,100
1,90,21,20,6,6,2000,5,82400,10,9.7,200
1,90,21,20,6,6,2000,5,82800,7,7.4,200
1,90,21,20,4,6,2000,5,84500,18,18,200
1,90,21,20,15,6,2000,5,85100,7,6.8,200
1,90,21,20,6,6,2000,50,91500,1,1.3,100
1,90,21,20,6,6,2000,50,91600,1,1.1,100
1,90,31,20,1,6,2000,50,601,1,1.4,100
1,90,31,20,1,6,2000,50,801,1,0.9,100
1,90,31,20,15,6,2000,5,900,14,14,200
1,90,31,20,15,6,2000,50,1101,2,2.1,100
1,90,31,20,15,6,2000,50,1201,1,1.2,100
1,90,31,20,7,6,2000,5,1500,6,6,200
1,90,31,20,1,6,2000,50,1600,1,1.3,100
1,90,31,20,7,6,2000,5,1800,5,4.6,200
1,90,31,20,16,6,2000,20,1900,4,4.4,100
1,90,31,20,15,6,2000,5,3900,7,6.6,200
1,90,31,20,6,6,2000,5,4500,13,13.4,200
1,90,31,20,1,6,2000,5,5100,6,5.6,200
1,90,31,20,6,6,2000,50,10601,1,0.9,100
1,90,31,20,1,6,2000,50,10701,1,1,100
1,90,31,20,1,6,2000,50,10801,1,0.8,100
1,90,31,20,1,6,2000,50,10901,1,1,100
1,90,31,20,1,6,2000,50,11001,1,1.2,100
1,90,31,20,1,6,2000,50,11101,2,1.6,100
1,90,31,20,1,6,2000,50,11201,1,1,100
1,90,31,20,6,6,2000,50,11300,1,0.8,100
1,90,31,20,1,6,2000,50,11400,1,1,100
1,90,31,20,1,6,2000,50,11500,1,0.8,100
1,90,31,20,1,6,2000,50,11600,2,1.7,100
1,90,31,20,1,6,2000,50,11700,2,1.8,100
1,90,31,20,1,6,2000,50,11800,1,0.6,100
1,90,31,20,1,6,2000,50,11900,2,1.7,100
1,90,31,20,1,6,2000,50,12001,1,0.5,100
1,90,31,20,7,6,2000,5,12100,5,4.7,300
1,90,31,20,1,6,2000,50,20600,1,1,100
1,90,31,20,1,6,2000,50,20701,2,1.6,100
1,90,31,20,1,6,2000,50,20800,2,1.5,100
1,90,31,20,1,6,2000,50,20900,2,2.1,100
1,90,31,20,1,6,2000,50,21000,2,1.9,100
1,90,31,20,1,6,2000,50,21101,1,0.6,100
1,90,31,20,1,6,2000,50,21201,1,0.8,100
1,90,31,20,4,6,2000,50,21301,1,1,100
1,90,31,20,1,6,2000,50,21401,1,0.6,100
1,90,31,20,6,6,2000,50,21500,1,0.7,100
1,90,31,20,6,6,2000,5,22700,13,12.5,200
